name,pclass,Age,SexCode,Survived
21,1,29.0,1,1
24,1,2.0,1,0
25,1,30.0,0,0
26,1,25.0,1,0
23,1,0.92,0,1
30,1,47.0,0,1
44,1,63.0,1,1
45,1,39.0,0,0
49,1,58.0,1,1
53,1,71.0,0,0
67,1,47.0,0,0
68,1,19.0,1,1
71,1,0.0,1,1
91,1,0.0,0,1
95,1,0.0,0,0
97,1,50.0,1,1
96,1,24.0,0,0
101,1,36.0,0,0
108,1,37.0,0,1
109,1,47.0,1,1
111,1,26.0,0,1
121,1,25.0,0,0
122,1,25.0,0,1
123,1,19.0,1,1
126,1,28.0,0,1
127,1,45.0,0,0
128,1,39.0,0,1
129,1,30.0,1,1
130,1,58.0,1,1
131,1,0.0,0,0
141,1,45.0,1,1
144,1,22.0,1,1
147,1,0.0,0,1
148,1,41.0,0,0
151,1,48.0,0,0
154,1,0.0,0,0
160,1,44.0,1,1
161,1,59.0,1,1
167,1,60.0,1,1
173,1,45.0,0,0
180,1,0.0,0,1
189,1,53.0,1,1
195,1,58.0,1,1
194,1,36.0,0,1
198,1,33.0,0,0
202,1,0.0,0,0
203,1,0.0,0,0
206,1,36.0,0,1
208,1,36.0,1,1
205,1,14.0,1,1
204,1,11.0,0,1
211,1,49.0,0,0
212,1,0.0,1,1
214,1,36.0,0,0
215,1,0.0,1,1
217,1,46.0,0,0
218,1,47.0,1,1
219,1,27.0,0,1
220,1,31.0,1,1
227,1,0.0,1,1
228,1,0.0,0,1
229,1,0.0,1,1
231,1,0.0,0,0
237,1,27.0,0,0
238,1,26.0,1,1
242,1,0.0,0,0
251,1,0.0,0,0
257,1,64.0,1,1
256,1,37.0,0,0
255,1,39.0,1,1
270,1,55.0,1,1
276,1,0.0,0,0
280,1,70.0,0,0
282,1,69.0,1,1
281,1,36.0,1,1
283,1,39.0,0,0
284,1,38.0,1,1
292,1,0.0,0,1
296,1,27.0,0,1
300,1,31.0,0,0
301,1,27.0,1,1
1307,1,0.0,1,1
329,1,31.0,0,1
330,1,17.0,1,1
333,1,0.0,0,1
335,1,0.0,1,1
334,1,4.0,0,1
341,1,27.0,1,1
340,1,50.0,0,0
342,1,48.0,1,1
353,1,49.0,0,1
352,1,48.0,1,1
354,1,39.0,0,0
360,1,23.0,1,1
374,1,53.0,1,1
375,1,36.0,1,0
385,1,0.0,1,1
389,1,0.0,0,1
399,1,30.0,0,0
400,1,24.0,1,1
403,1,19.0,0,0
401,1,28.0,1,1
402,1,23.0,1,1
404,1,64.0,0,0
405,1,60.0,1,1
410,1,0.0,0,0
411,1,49.0,0,1
413,1,0.0,1,1
412,1,44.0,0,1
414,1,22.0,1,1
415,1,60.0,0,1
416,1,48.0,1,1
420,1,37.0,0,0
421,1,35.0,1,1
430,1,47.0,0,0
433,1,22.0,1,1
434,1,45.0,1,1
446,1,49.0,0,1
447,1,0.0,1,1
448,1,71.0,0,0
462,1,54.0,0,1
464,1,38.0,0,0
463,1,19.0,1,1
465,1,58.0,1,1
469,1,45.0,1,1
468,1,23.0,0,1
472,1,46.0,0,0
492,1,25.0,0,1
493,1,21.0,1,1
497,1,48.0,0,1
498,1,49.0,1,1
502,1,45.0,0,0
504,1,36.0,1,1
512,1,0.0,0,1
514,1,55.0,0,0
515,1,52.0,1,1
513,1,24.0,1,1
516,1,0.0,0,0
536,1,0.0,0,0
538,1,0.0,0,0
539,1,16.0,1,1
540,1,44.0,1,1
548,1,51.0,1,1
553,1,42.0,0,0
554,1,35.0,1,1
555,1,35.0,0,1
563,1,38.0,0,1
565,1,35.0,1,1
564,1,0.0,0,0
574,1,50.0,1,0
575,1,49.0,0,1
608,1,46.0,0,0
612,1,0.0,0,0
640,1,58.0,0,0
641,1,41.0,0,0
642,1,0.0,1,1
649,1,42.0,0,1
650,1,40.0,1,1
657,1,0.0,0,0
684,1,0.0,1,1
702,1,0.0,0,0
707,1,42.0,0,0
711,1,55.0,1,1
714,1,50.0,1,1
713,1,16.0,1,1
717,1,0.0,0,0
722,1,29.0,0,0
723,1,21.0,1,1
724,1,30.0,0,0
736,1,15.0,1,1
739,1,30.0,0,0
755,1,0.0,0,1
760,1,0.0,0,0
761,1,0.0,1,1
766,1,46.0,0,0
768,1,54.0,0,0
777,1,36.0,0,1
